feature,mean_abs_shap
cat__spg_number_39,2.9108761461785512e-05
cat__spg_number_53,2.898487789233962e-05
cat__spg_number_50,2.7789472478151815e-05
cat__spg_number_223,2.631143569762284e-05
cat__spg_number_188,2.5995959058088196e-05
cat__spg_number_111,2.5872793204281692e-05
cat__spg_number_182,2.5771086295270237e-05
cat__spg_number_183,2.5122262790649516e-05
cat__spg_number_69,2.413604308725393e-05
cat__spg_number_114,2.396169248434403e-05
cat__spg_number_177,2.3953112405010727e-05
cat__spg_number_35,2.3773560069357578e-05
cat__spg_number_54,2.3536065702856617e-05
cat__spg_number_178,2.306782229753877e-05
cat__spg_number_185,2.237270068542022e-05
cat__spg_number_159,2.160628778384738e-05
cat__spg_number_80,1.7848032772982352e-05
cat__spg_number_97,1.738264894442127e-05
cat__spg_number_230,1.7224506353943566e-05
cat__spg_number_105,1.710479634533502e-05
cat__spg_number_229,1.602766550622498e-05
cat__spg_number_169,1.5723228713141035e-05
cat__spg_number_100,1.4754993334565496e-05
cat__spg_number_21,1.4235507056457435e-05
cat__spg_number_155,1.4176492637963368e-05
cat__spg_number_73,1.4056045748459209e-05
cat__spg_number_23,1.3985310645005698e-05
cat__spg_number_145,1.3752420047818529e-05
cat__spg_number_76,1.3746097147286314e-05
cat__spg_number_180,1.3635050029204184e-05
cat__spg_number_81,1.3351234992920818e-05
cat__spg_number_16,1.2910562525094597e-05
cat__spg_number_202,1.262654809342597e-05
cat__spg_number_212,1.1515721449591988e-05
cat__spg_number_144,1.139739007244111e-05
cat__spg_number_213,1.1170404801096934e-05
cat__spg_number_157,1.0776873489446389e-05
cat__spg_number_86,9.817037634299095e-06
cat__spg_number_149,9.705951166596553e-06
cat__spg_number_94,9.620762892299708e-06
cat__spg_number_34,9.389522859306433e-06
cat__spg_number_79,9.277108296969262e-06
cat__spg_number_56,9.16087716227175e-06
cat__spg_number_98,8.450508261963211e-06
cat__spg_number_30,7.909037251622084e-06
cat__spg_number_214,7.810857623013643e-06
cat__spg_number_37,7.699412310218875e-06
cat__spg_number_130,6.638689762401979e-06
cat__spg_number_17,6.396925534604469e-06
cat__spg_number_208,6.2140607467081425e-06
cat__spg_number_118,5.8998995451358315e-06
cat__spg_number_190,5.7557444226273696e-06
cat__spg_number_68,5.5470286249128975e-06
cat__spg_number_200,5.1263718308349325e-06
cat__spg_number_28,4.871258207711955e-06
cat__spg_number_153,4.818213855341148e-06
cat__spg_number_48,4.3858106626778605e-06
cat__spg_number_75,3.8682375717938855e-06
cat__spg_number_158,3.7024985088038167e-06
cat__spg_number_45,3.5579044292413203e-06
cat__spg_number_108,3.2373763280430058e-06
cat__spg_number_78,2.646401378244555e-06
cat__spg_number_226,2.234012522443096e-06
cat__spg_number_203,2.079050295182031e-06
cat__spg_number_32,2.020384482986719e-06
cat__spg_number_124,1.926443550372291e-06
cat__spg_number_197,1.27504533545243e-06
cat__spg_number_117,9.886700062556957e-07
cat__spg_number_22,9.541042223769186e-07
cat__spg_number_110,6.464101385698619e-07
cat__spg_number_179,5.024253247794359e-07
cat__spg_number_49,4.904799375251882e-07
cat__spg_number_219,4.306495105730707e-07
cat__spg_number_120,2.787928088677563e-07
cat__spg_number_89,1.586701028977945e-07
cat__spg_number_201,1.555909560501318e-07
cat__spg_number_134,1.481705572107874e-07
cat__spg_number_151,8.138768541561275e-08
cat__spg_number_192,6.056369173180346e-08
cat__spg_number_90,4.151876832483328e-08
cat__spg_number_83,2.795230817461911e-08
cat__spg_number_77,0.0
cat__spg_number_104,0.0
cat__spg_number_175,0.0
cat__spg_number_209,0.0
