name,MAE,RMSE,R2,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features
leaf_1,0.24983571128112797,0.5628450366282812,0.8113877914097063,200,,2,1,1.0
more_trees,0.2607842264690976,0.572471021443995,0.804881191960343,300,,2,2,1.0
baseline,0.2609856852008678,0.5729535265448408,0.8045521430064166,200,,2,2,1.0
depth_30,0.26181331299099253,0.5736607903133499,0.8040693167379737,200,30.0,2,2,1.0
features_0.7,0.2638018171236993,0.5746755040137288,0.8033755639607542,200,,2,2,0.7
depth_20,0.2733495131234987,0.5852922288105089,0.7960434604485269,200,20.0,2,2,1.0
leaf_4,0.28006524064985916,0.5944105421749357,0.789639048899283,200,,2,4,1.0
regularized,0.28251335079410866,0.5944197892568837,0.7896325037930101,300,30.0,5,4,0.7
